,	, ,
berkacamata	VB berkacamata
berkacau	VB berkacau
berkaca	VB berkaca
berkain	VB berkain
berkaitan	VB berkaitan
berkait	VB berkait
berkakak	VB berkakak
berkaki	VB berkaki
berkala	JJ berkala
berkala-kala	RB berkala-kala
berkaliber	VB berkaliber
berkalih	VB berkalih
berkali-kali	RB berkali-kali
berkamar	VB berkamar
berkampanye	VB berkampanye
berkanjang	JJ berkanjang
berkanji	VB berkanji
berkaok-kaok	VB berkaok-kaok
berkaos	VB berkaos
berkapal	VB berkapal
berkaparan	VB berkaparan
berkarah	VB berkarah
berkarakter	VB berkarakter
berkarat	VB berkarat
berkariban	VB berkariban
berkarib	VB berkarib
berkarut	VB berkarut
berkarya	VB berkarya
berkasida	VB berkasida
berkasih-kasihan	VB berkasih-kasihan
berkata-kata	VB berkata-kata
berkata	VB berkata
berkaul	VB berkaul
berkaus	VB berkaus
berkawan	VB berkawan
berkayu	VB berkayu
berkeberatan	VB berkeberatan
berkebetulan	VB berkebetulan
berkebun	VB berkebun
berkecamuk	VB berkecamuk
berkecenderungan	VB berkecenderungan
berkecil	VB berkecil
berkecimpung	VB berkecimpung
berkecuali	VB berkecuali
berkecukupan	VB berkecukupan
berkediaman	VB berkediaman
berkedip-kedip	VB berkedip-kedip
berkedip	VB berkedip
berkedok	VB berkedok
berkedudukan	VB berkedudukan
berkegiatan	VB berkegiatan
berkeinginan	VB berkeinginan
berkejap-kejap	VB berkejap-kejap
berkejap	VB berkejap
berkejar-kejaran	VB berkejar-kejaran
berkelakar	VB berkelakar
berkelambu	VB berkelambu
berkelana	VB berkelana
berkelanjutan	VB berkelanjutan
berkelas	VB berkelas
berkelebihan	VB berkelebihan
berkeliaran	VB berkeliaran
berkeliling	VB berkeliling
berkelipan	VB berkelipan
berkelip-kelip	VB berkelip-kelip
berkelit	VB berkelit
berkelok-kelok	VB berkelok-kelok
berkelok	VB berkelok
berkelopak	VB berkelopak
berkeluh	VB berkeluh
berkemah	VB berkemah
berkemas-kemas	VB berkemas-kemas
berkemas	VB berkemas
berkembang	VB berkembang
berkemih	VB berkemih
berkenaan	VB berkenaan
berkenalan	VB berkenalan
berkenal-kenalan	VB berkenal-kenalan
berkenan	VB berkenan
berkencan	VB berkencan
berkendaraan	VB berkendaraan
berkendara	VB berkendara
berkenduri	VB berkenduri
berkepak-kepak	VB berkepak-kepak
berkepak	VB berkepak
berkepanjangan	VB berkepanjangan
berkeputusan	VB berkeputusan
berkerabat	VB berkerabat
berkeramas	VB berkeramas
berkeras	VB berkeras
berkerat	VB berkerat
berkeris	VB berkeris
berkerumun	VB berkerumun
berkerut	VB berkerut
berkesan	VB berkesan
berkesiuran	VB berkesiuran
berkesudahan	VB berkesudahan
berketentuan	VB berketentuan
berketurunan	VB berketurunan
berkhasiat	VB berkhasiat
berkhianat	VB berkhianat
berkhidmat	VB berkhidmat
berkhitan	VB berkhitan
berkhotbah	VB berkhotbah
berkias-kias	VB berkias-kias
berkias	VB berkias
berkiat	VB berkiat
berkibar	VB berkibar
berkiblat	VB berkiblat
berkicauan	VB berkicauan
berkicau	VB berkicau
berkikikan	VB berkikikan
berkilah	VB berkilah
berkilatan	VB berkilatan
berkilat	VB berkilat
berkilauan	VB berkilauan
berkilau	VB berkilau
berkipas-kipas	VB berkipas-kipas
berkipas	VB berkipas
berkiprah	VB berkiprah
berkirim-kiriman	VB berkirim-kiriman
berkirim	VB berkirim
berkisar	VB berkisar
berkisi	VB berkisi
berkitar	VB berkitar
berkoar-koar	VB berkoar-koar
berkoar	VB berkoar
berkobar-kobar	VB berkobar-kobar
berkobar	VB berkobar
berkobok	VB berkobok
berkodi-kodi	VB berkodi-kodi
berkokok	VB berkokok
berkomentar	VB berkomentar
berkompeten	VB berkompeten
berkomplot	VB berkomplot
berkompromi	VB berkompromi
berkomunikasi	VB berkomunikasi
berkonde	VB berkonde
berkonsolidasi	VB berkonsolidasi
berkoperasi	VB berkoperasi
berkorelasi	VB berkorelasi
berkotak-kotak	VB berkotak-kotak
berkotek	VB berkotek
berkreasi	VB berkreasi
berkuah	VB berkuah
berkuala	VB berkuala
berkualifikasi	VB berkualifikasi
berkuasa	VB berkuasa
berkubah	VB berkubah
berkubang	VB berkubang
berkubur	VB berkubur
berkubu	VB berkubu
berkucur	VB berkucur
berkuda	VB berkuda
berkukuh	VB berkukuh
berkukus	VB berkukus
berkuku	VB berkuku
berkulit	VB berkulit
berkuli	VB berkuli
berkulup	VB berkulup
berkumai	VB berkumai
berkumandang	VB berkumandang
berkumis	VB berkumis
berkumpul	VB berkumpul
berkumur	VB berkumur
berkunci	VB berkunci
berkunjung	VB berkunjung
berkurang	VB berkurang
berkurap	VB berkurap
berkurik-kurik	VB berkurik-kurik
berkurun-kurun	RB berkurun-kurun
berkusuk	VB berkusuk
berkusut-kusut	VB berkusut-kusut
berkutat	VB berkutat
berkuta	VB berkuta
berkutik	VB berkutik
berkutu	VB berkutu
berlaba	VB berlaba
berlabel	VB berlabel
berlabuh	VB berlabuh
berlabun-labun	VB berlabun-labun
berladang	VB berladang
berlagak	VB berlagak
berlaga	VB berlaga
berlagu	VB berlagu
berlahar	VB berlahar
berlainan	VB berlainan
berlain-lainan	VB berlain-lainan
berlajur	VB berlajur
berlaki	VB berlaki
berlaku	VB berlaku
berlalu	VB berlalu
berlama-lama	VB berlama-lama
berlampang-lampang	VB berlampang-lampang
berlampang	VB berlampang
berlancing	VB berlancing
berlandaskan	VB berlandaskan
berlangganan	VB berlangganan
berlanggan	VB berlanggan
berlangsung	VB berlangsung
berlantung	VB berlantung
berlapik	VB berlapik
berlapis-lapis	VB berlapis-lapis
berlapis	VB berlapis
berlarasan	VB berlarasan
berlarat-larat	VB berlarat-larat
berlarian	VB berlarian
berlari-larian	VB berlari-larian
berlari-lari	VB berlari-lari
berlari	VB berlari
berlarut-larut	VB berlarut-larut
berlatih	VB berlatih
berlauk	VB berlauk
berlawak-lawak	VB berlawak-lawak
berlawanan	VB berlawanan
berlawan	VB berlawan
berlayapan	VB berlayapan
berlayap-layapan	VB berlayap-layapan
berlayar	VB berlayar
berlebihan	VB berlebihan
berlebih-lebihan	VB berlebih-lebihan
berlebih-lebih	VB berlebih-lebih
berlebih	VB berlebih
berleha-leha	VB berleha-leha
berlekas-lekasan	VB berlekas-lekasan
berlekas-lekas	VB berlekas-lekas
berlekuk	VB berlekuk
berlelah-lelah	VB berlelah-lelah
berlelehan	VB berlelehan
berleleran	VB berleleran
berlemak	VB berlemak
berlena-lena	VB berlena-lena
berlena	VB berlena
berlenso	VB berlenso
berleret-leret	VB berleret-leret
berleret	VB berleret
berletih-letih	VB berletih-letih
berlibur	VB berlibur
berligar-ligar	VB berligar-ligar
berlihat-lihatan	VB berlihat-lihatan
berliku-liku	VB berliku-liku
berlikut	VB berlikut
berlilit	VB berlilit
berlima	CD berlima
berlimit	VB berlimit
berlinang	VB berlinang
berlindung	VB berlindung
berlingkar	VB berlingkar
berlipat	VB berlipat
berliur	VB berliur
berlogat	VB berlogat
berlomba-lomba	RB berlomba-lomba
berlomba	VB berlomba
berlopak-lopak	VB berlopak-lopak
berlopak	VB berlopak
berlubang-lubang	JJ berlubang-lubang
berludah	VB berludah
berluluk	VB berluluk
berlulut	VB berlulut
berlumuran	VB berlumuran
berlumur	VB berlumur
berlusin	CD berlusin
berlusin-lusin	CD berlusin-lusin
berlutut	VB berlutut
bermabuk-mabukan	VB bermabuk-mabukan
bermacam	DT bermacam
bermacam-macam	DT bermacam-macam
bermadah	VB bermadah
bermadat	VB bermadat
bermadu	VB bermadu
bermahkota	VB bermahkota
bermain-main	VB bermain-main
bermain	VB bermain
bermakna	VB bermakna
bermaksiat	VB bermaksiat
bermaksud	VB bermaksud
bermalam-malam	RB bermalam-malam
bermalam	VB bermalam
bermalas-malas	VB bermalas-malas
bermalu	VB bermalu
bermandikan	VB bermandikan
bermanfaat	VB bermanfaat
bermanik-manik	VB bermanik-manik
bermanis-manis	VB bermanis-manis
bermanja-manja	VB bermanja-manja
bermanuver	VB bermanuver
bermasak-masak	VB bermasak-masak
bermatakan	VB bermatakan
bermata	VB bermata
bermaterai	VB bermaterai
bermatian	VB bermatian
bermatikan (diri)	VB bermatikan (diri)
bermerek	VB bermerek
bermesin	VB bermesin
bermesraan	VB bermesraan
bermesra-mesraan	VB bermesra-mesraan
bermimpi	VB bermimpi
berminat	VB berminat
bermitra	VB bermitra
bermobil	VB bermobil
bermodalkan	VB bermodalkan
bermodal	VB bermodal
bermohon	VB bermohon
bermoral	VB bermoral
bermotor	VB bermotor
bermuara	VB bermuara
bermuatan	VB bermuatan
bermuka-muka	VB bermuka-muka
bermuka	VB bermuka
bermukim	VB bermukim
bermula	VB bermula
bermuluk-muluk	VB bermuluk-muluk
bermusim	VB bermusim
bermusuhan	VB bermusuhan
bermusyawarah	VB bermusyawarah
bermutu	VB bermutu
bernada	VB bernada
bernafsu	VB bernafsu
bernalam	VB bernalam
bernalar	VB bernalar
bernama	VB bernama
bernanah	VB bernanah
bernapas	VB bernapas
bernasib	VB bernasib
bernaung	VB bernaung
bernazar	VB bernazar
berniaga	VB berniaga
berniat	VB berniat
bernilai	VB bernilai
bernoda	VB bernoda
bernomor	VB bernomor
bernyala-nyala	VB bernyala-nyala
bernyala	VB bernyala
bernyali	VB bernyali
bernyawa	VB bernyawa
berobat	VB berobat
beroda	VB beroda
berodi	VB berodi
berok	NN berok
berolahraga	VB berolahraga
beroleh	VB beroleh
berolok-olok	VB berolok-olok
berombak	VB berombak
berombongan	VB berombongan
beromong-omong	VB beromong-omong
beronani	VB beronani
berorientasi	VB berorientasi
berotak	VB berotak
berotot	VB berotot
beroyal-royal	VB beroyal-royal
berpacaran	VB berpacaran
berpacu	VB berpacu
berpadan	VB berpadan
berpadu	VB berpadu
berpagar	VB berpagar
berpagut	VB berpagut
berpaham	VB berpaham
berpahat	VB berpahat
berpair-pair	VB berpair-pair
berpakaian	VB berpakaian
berpakansi	VB berpakansi
berpakan	VB berpakan
berpaku	VB berpaku
berpal-pal	VB berpal-pal
berpamitan	VB berpamitan
berpanco	VB berpanco
berpandukan	VB berpandukan
berpapah	VB berpapah
berpapakan	VB berpapakan
berpapasan	VB berpapasan
berparap	VB berparap
berparut	VB berparut
berpasuk-pasuk	VB berpasuk-pasuk
berpatroli	VB berpatroli
berpautan	VB berpautan
berpaut	VB berpaut
berpecah	VB berpecah
berpelajaran	VB berpelajaran
berpelukan	VB berpelukan
berpeluk-pelukan	VB berpeluk-pelukan
berpeluk	VB berpeluk
berpenat-penat	VB berpenat-penat
berpendidikan	VB berpendidikan
berpendirian	VB berpendirian
berpengalaman	VB berpengalaman
berpengetahuan	VB berpengetahuan
berperan	VB berperan
berperawakan	VB berperawakan
berperi	VB berperi
berpesan	VB berpesan
berpesta-pesta	VB berpesta-pesta
berpesta	VB berpesta
berpetak-petak	VB berpetak-petak
berpeti-peti	CD berpeti-peti
berpiama	VB berpiama
berpihak	VB berpihak
berpijak	VB berpijak
berpijar-pijar	VB berpijar-pijar
berpijar	VB berpijar
berpikiran	VB berpikiran
berpikir-pikir	VB berpikir-pikir
berpikir	VB berpikir
berpilin-pilin	VB berpilin-pilin
berpilin	VB berpilin
berpisah	VB berpisah
berpita	VB berpita
berpokok	VB berpokok
berpori	VB berpori
berpose	VB berpose
berpretensi	VB berpretensi
berpuasa	VB berpuasa
berpuas	VB berpuas
berpucuk	VB berpucuk
berpuluh-puluh	CD berpuluh-puluh
berpupur	VB berpupur
berpuru	VB berpuru
berpusar-pusar	VB berpusar-pusar
berpusar	VB berpusar
berpusat	VB berpusat
berputar-putar	VB berputar-putar
berputar	VB berputar
berputik	VB berputik
berputrakan	VB berputrakan
berputra	VB berputra
bersabar	VB bersabar
bersaba	VB bersaba
bersabda	VB bersabda
bersabuk	VB bersabuk
bersahabat	VB bersahabat
bersahutan	VB bersahutan
bersahut-sahutan	VB bersahut-sahutan
bersaingan	VB bersaingan
bersaing	VB bersaing
bersajak	VB bersajak
bersakit-sakit	VB bersakit-sakit
bersaksi	VB bersaksi
bersalah	VB bersalah
bersalaman	VB bersalaman
bersalam-salaman	VB bersalam-salaman
bersalam	VB bersalam
bersalin	VB bersalin
bersalip-salipan	VB bersalip-salipan
bersalju	VB bersalju
bersalto	VB bersalto
bersalut	VB bersalut
bersamaan	VB bersamaan
bersama-sama	VB bersama-sama
bersama	VB bersama
bersambang	VB bersambang
bersambungan	VB bersambungan
bersambung	VB bersambung
bersampingan	VB bersampingan
bersamping	VB bersamping
bersanak-saudara	VB bersanak-saudara
bersanak	VB bersanak
bersanding	VB bersanding
bersandi	VB bersandi
bersandiwara	VB bersandiwara
bersanggama	VB bersanggama
bersanggul	VB bersanggul
bersangkal	VB bersangkal
bersangkar	VB bersangkar
bersangkutan	VB bersangkutan
bersangkut	VB bersangkut
bersapa-sapaan	VB bersapa-sapaan
bersasak	VB bersasak
bersatu	VB bersatu
bersaudara	VB bersaudara
bersawah	VB bersawah
bersayap	VB bersayap
bersebelahan	VB bersebelahan
bersedia	VB bersedia
bersedih	VB bersedih
bersegel	VB bersegel
bersegi	VB bersegi
bersejarah	VB bersejarah
bersekat-sekat	VB bersekat-sekat
bersekat	VB bersekat
bersekolah	VB bersekolah
bersekongkol	VB bersekongkol
berselamatan	VB berselamatan
bersela	VB bersela
berselendang	VB berselendang
berselimut	VB berselimut
berselisih	VB berselisih
berseliweran	VB berseliweran
berseloroh	VB berseloroh
berselurus	VB berselurus
bersel	VB bersel
bersemak	VB bersemak
bersemangat	VB bersemangat
bersemarak	VB bersemarak
bersemayam	VB bersemayam
bersemir	VB bersemir
bersenam	VB bersenam
bersenapan	VB bersenapan
bersendikan	VB bersendikan
bersendu	VB bersendu
bersenggolan	VB bersenggolan
berseni	VB berseni
bersenjatakan	VB bersenjatakan
bersentuhan	VB bersentuhan
bersenyawa	VB bersenyawa
bersepakat	VB bersepakat
bersepak-sepakan	VB bersepak-sepakan
bersepi-sepi	VB bersepi-sepi
bersepuh	VB bersepuh
bersep	VB bersep
berserabut	VB berserabut
berseragam	VB berseragam
berserakan	VB berserakan
berseran	VB berseran
berserat	VB berserat
berserempetan	VB berserempetan
berserikat	VB berserikat
berseri-seri	VB berseri-seri
berseri	VB berseri
berseru	VB berseru
bersesak-sesak	VB bersesak-sesak
bersesuaian	VB bersesuaian
bersetelan	VB bersetelan
bersetrika	VB bersetrika
bersetubuh	VB bersetubuh
bersiaga	VB bersiaga
bersialang	VB bersialang
bersiap-siap	VB bersiap-siap
bersiap	VB bersiap
bersibak	VB bersibak
bersifat	VB bersifat
bersigap	VB bersigap
bersikap	VB bersikap
bersikeras	VB bersikeras
bersiku	VB bersiku
bersila	VB bersila
bersilih	VB bersilih
bersilir-silir	VB bersilir-silir
bersimpangan	VB bersimpangan
bersimpati	VB bersimpati
bersinar	VB bersinar
bersinggungan	VB bersinggungan
bersinonim	VB bersinonim
bersisa	VB bersisa
bersisik	VB bersisik
bersisir	VB bersisir
bersiul	VB bersiul
bersiuran	VB bersiuran
bersobat	VB bersobat
bersolek	VB bersolek
bersol	VB bersol
bersorak	VB bersorak
bersosok	VB bersosok
bersuai	VB bersuai
bersuamikan	VB bersuamikan
bersuami	VB bersuami
bersuap-suapan	VB bersuap-suapan
bersuara	VB bersuara
bersua	VB bersua
bersuit-suit	VB bersuit-suit
bersuit	VB bersuit
bersuji	VB bersuji
bersujud	VB bersujud
bersuku	VB bersuku
bersulam	VB bersulam
bersulur	VB bersulur
bersungkawa	VB bersungkawa
bersungut-sungut	RB bersungut-sungut
bersusuk	VB bersusuk
bersusun	VB bersusun
bersusu	VB bersusu
bersyair	VB bersyair
bertabikan	VB bertabikan
bertabik	VB bertabik
bertabir	VB bertabir
bertabrakan	VB bertabrakan
bertaburan	VB bertaburan
bertaburkan	VB bertaburkan
bertabur-tabur	VB bertabur-tabur
bertafakur	VB bertafakur
bertahajud	VB bertahajud
bertahan	VB bertahan
bertahap	VB bertahap
bertahun-tahun	CD bertahun-tahun
bertaih-tatih	VB bertaih-tatih
bertaji	VB bertaji
bertajuk-tajuk	VB bertajuk-tajuk
bertaksi	VB bertaksi
bertakwa	VB bertakwa
bertalian	VB bertalian
bertali-tali	VB bertali-tali
bertalun-talun	VB bertalun-talun
bertalu-talu	RB bertalu-talu
bertamadun	VB bertamadun
bertamasya	VB bertamasya
bertamsya	VB bertamsya
bertamu	VB bertamu
bertanah	VB bertanah
bertandang	VB bertandang
bertanda	VB bertanda
bertanding	VB bertanding
bertanggal	VB bertanggal
bertani	VB bertani
bertanya-tanya	VB bertanya-tanya
bertanya	VB bertanya
bertapak	VB bertapak
bertapa	VB bertapa
bertaraf	VB bertaraf
bertarak	VB bertarak
bertara	VB bertara
bertaruhan	VB bertaruhan
bertatahkan	VB bertatahkan
bertatah	VB bertatah
bertatapan	VB bertatapan
bertatap-tatapan	VB bertatap-tatapan
bertautan	VB bertautan
bertaut	VB bertaut
bertebaran	VB bertebaran
berteduh	VB berteduh
berteguran	VB berteguran
bertekad	VB bertekad
bertekak	VB bertekak
bertekatkan	VB bertekatkan
bertekat	VB bertekat
bertele-tele	VB bertele-tele
bertelur	VB bertelur
bertemakan	VB bertemakan
berteman	VB berteman
bertema	VB bertema
bertemu	VB bertemu
bertendensi	VB bertendensi
bertenggang-tenggangan	VB bertenggang-tenggangan
bertenggang	VB bertenggang
bertenun	VB bertenun
berteori	VB berteori
bertepas	VB bertepas
bertepatan	VB bertepatan
bertepikan	VB bertepikan
bertepi	VB bertepi
bertepuk	VB bertepuk
berteras	VB berteras
bertera	VB bertera
berterawang	VB berterawang
bertetangga	VB bertetangga
bertetesan	VB bertetesan
bertiang	VB bertiang
bertian	VB bertian
bertiga	CD bertiga
bertikai	VB bertikai
bertilam	VB bertilam
bertimpa-timpaan	VB bertimpa-timpaan
bertinju	VB bertinju
bertiras-tiras	VB bertiras-tiras
bertitah	VB bertitah
bertitel	VB bertitel
bertiup	VB bertiup
bertobat	VB bertobat
bertoga	VB bertoga
bertohor	VB bertohor
bertokok	VB bertokok
bertolak	VB bertolak
berton-ton	CD berton-ton
bertopi	VB bertopi
bertruk-truk	CD bertruk-truk
bertuah	VB bertuah
bertuan	VB bertuan
bertubi-tubi	RB bertubi-tubi
bertubuh	VB bertubuh
bertugas	VB bertugas
bertuhan	VB bertuhan
bertujuan	VB bertujuan
bertujuh	CD bertujuh
bertukaran	VB bertukaran
bertukar-tukaran	VB bertukar-tukaran
bertukar-tukar	VB bertukar-tukar
bertukar	VB bertukar
bertulisan	VB bertulisan
bertuliskan	VB bertuliskan
bertulis	VB bertulis
bertumpu	VB bertumpu
bertunangan	VB bertunangan
bertunas	VB bertunas
bertura-tura	JJ bertura-tura
berturut-turut	RB berturut-turut
bertutup	VB bertutup
bertutur	VB bertutur
beruang	VB beruang
beruas	VB beruas
berubah-ubah	VB berubah-ubah
berubah	VB berubah
beruban	VB beruban
berucap	VB berucap
berudara	VB berudara
berudu	VB berudu
berujar	VB berujar
berujung	VB berujung
berukiran	VB berukiran
berukir	VB berukir
beruk	NN beruk
berukuran	VB berukuran
berulah	VB berulah
berulam	VB berulam
berulang-ulang	RB berulang-ulang
berulang	VB berulang
berulat	VB berulat
berumahkan	VB berumahkan
berumah	VB berumah
berumbi	VB berumbi
berumur	VB berumur
berundak-undak	VB berundak-undak
berundan-undan	VB berundan-undan
berunding	VB berunding
beru	NN beru
beruntaian	VB beruntaian
beruntai-untai	VB beruntai-untai
beruntai	VB beruntai
berupah	VB berupah
berupa-rupa	DT berupa-rupa
berupa	VB berupa
berupaya	VB berupaya
berurai	VB berurai
berurat	VB berurat
berurine	VB berurine
berurusan	VB berurusan
berurut-urutan	VB berurut-urutan
berurut	VB berurut
berusaha	VB berusaha
berusia	VB berusia
berutang	VB berutang
bervariasi	VB bervariasi
besan	NN besan
besar-besaran	JJ besar-besaran
besar	JJ besar
besek	NN besek
beserta	VB beserta
beser	VB beser
beset	JJ beset
besi	NN besi
besok	NN besok
betah	JJ betah
beta	PR beta
beteki	VB beteki
betet	NN betet
beti-beti	NN beti-beti
beti	NN beti
betis	NN betis
bet	NN bet
betok	NN betok
beton	NN beton
betul	JJ betul
bianglala	NN bianglala
biang	NN biang
biara	NN biara
biarawan	NN biarawan
biarawati	NN biarawati
biar	CC biar
biasanya	RB biasanya
biasa	VB biasa
biaya	NN biaya
bibi	NN bibi
bibir	NN bibir
bibit	NN bibit
bidah	NN bidah
bidai	NN bidai
bidak	NN bidak
bidan	NN bidan
bidikan	NN bidikan
bido	NN bido
biduk	NN biduk
bihun	NN bihun
bijak	JJ bijak
bija	NN bija
bijan	NN bijan
biji-bijian	NN biji-bijian
bijih	NN bijih
biji	NN biji
bikinan	NN bikinan
biksuni	NN biksuni
biksu	NN biksu
bila	CC bila
bilah	NN bilah
bilal	NN bilal
bilik	NN bilik
bilis	NN bilis
binaraga	NN binaraga
binaragawan	NN binaragawan
binaragawati	NN binaragawati
binar	NN binar
binatang	NN binatang
bindu	NN bindu
biner	JJ biner
bingkisan	NN bingkisan
bini-binian	NN bini-binian
bini	NN bini
bin	NN bin
binti	NN binti
biofisika	NN biofisika
biogeografi	NN biogeografi
biografi	NN biografi
biokimia	NN biokimia
biola	NN biola
biologis	JJ biologis
biomassa	NN biomassa
biota	NN biota
bioteknologi	NN bioteknologi
birah	NN birah
birit	NN birit
bir	NN bir
birokrat	NN birokrat
biro	NN biro
biru	JJ biru
bisa	NN bisa	VB bisa
bisikan	NN bisikan
bis	NN bis
bison	NN bison
bisu	JJ bisu
bisul	NN bisul
bius	NN bius
bivak	NN bivak
blakblakan	JJ blakblakan
blasteran	JJ blasteran
blok	NN blok
blong	JJ blong
blus	NN blus
bobok	NN bobok
bobol	JJ bobol
bobot	NN bobot
bocah	NN bocah
bocok	NN bocok
bocoran	NN bocoran
bocor	VB bocor
bodi	NN bodi
bodoh	JJ bodoh
bogel	JJ bogel
bogem	NN bogem
bogor	NN bogor
boi	NN boi
bois	JJ bois
bokar	NN bokar
bokek	JJ bokek
bokor	NN bokor
boks	NN boks
bolak-balik	JJ bolak-balik
bola	NN bola
boleh	MD boleh
bol	NN bol
bolu	NN bolu
bom	NN bom
bongo	NN bongo
bon	NN bon
bonto	JJ bonto
bonus	NN bonus
bopo	JJ bopo
boreh	NN boreh
borek	JJ borek
bor	NN bor
borok	NN borok
boron	NN boron
boros	JJ boros
bosan	JJ bosan
bos	NN bos
botak	JJ botak
botoh	NN botoh
boto	JJ boto
botok	NN botok
botol	NN botol
brahmana	NN brahmana
brem	NN brem
brengsek	JJ brengsek
brigadir	NN brigadir
brom	NN brom
bros	NN bros
bruto	JJ bruto
buah-buahan	NN buah-buahan
buah	NN buah
buaian	NN buaian
bualan	NN bualan
buana	NN buana
buari	NN buari
buar	JJ buar
buas	JJ buas
buatan	NN buatan
buat	IN buat
buaya	NN buaya
bubar	VB bubar
bubuhan	NN bubuhan
bubuk	NN bubuk
bubun-bubun	NN bubun-bubun
bubu	NN bubu
bubur	NN bubur
bubut	NN bubut
budak	NN budak
budek	JJ budek
budha	NN budha
Budha	NN Budha
budhisme	NN budhisme
budhis	NN budhis
budi	NN budi
bufet	NN bufet
bugar	JJ bugar
bugil	JJ bugil
buih	NN buih
bui	NN bui
bujet	NN bujet
bujukan	NN bujukan
bujuk	NN bujuk
bujur	NN bujur
bukan-bukan	RB bukan-bukan
bukan	MD bukan
buket	NN buket
bukit	NN bukit
bukti	NN bukti
buku	NN buku
bulai	NN bulai
bulanan	JJ bulanan
bulan-bulanan	NN bulan-bulanan
bulan	NN bulan
bulatan	NN bulatan
bulat	JJ bulat
bulir	NN bulir
buluh	NN buluh
bulukan	JJ bulukan
bulu	NN bulu
bulus	NN bulus
bumbu	NN bumbu
bumi	NN bumi
bumiputra	NN bumiputra
bum	NN bum
bunda	NN bunda
bunga-bungaan	NN bunga-bungaan
bunga	NN bunga
bungkusan	NN bungkusan
bung	NN bung
buni	NN buni
bun	NN bun
buntu	JJ buntu
bunuh	VB bunuh
bunut	NN bunut
bunyi-bunyian	NN bunyi-bunyian
bunyi	NN bunyi
buram	NN buram
buras	NN buras
burik	JJ burik
